keyFifths,beats,beatsType,harmonyRootStep,harmonyRootAlter,divisions,harmonyKind,harmonyDuration,sequenceId,startPitchStep,startPitchOctave,startPitchAlter,targetPitchStep,targetPitchOctave,targetPitchAlter
0,4,4,D,0,1,minor-seventh,4,63288c05-df8d-45b8-9409-87ebbc5d8df5,D,3,0,G,3,0
0,4,4,G,0,1,dominant,4,b6d9861e-ebea-4d9f-bdc2-36472a2104c8,G,3,0,C,3,0
0,4,4,C,0,1,major-seventh,4,0f8f89f5-4f6a-462b-8209-fd386c160cc5,C,3,0,C,3,0
0,4,4,C,0,1,major-seventh,4,db659e41-354a-4c8e-a44f-a4fb6f48ec29,C,3,0,C,3,1
5,4,4,C,1,1,minor-seventh,4,a563643d-8936-4d2a-ae8b-236404c8e64f,C,3,1,F,3,1
5,4,4,F,1,1,dominant,4,5e0b019f-4a92-464f-9b1c-d432341f2cfa,F,3,1,B,2,0
5,4,4,B,0,1,major-seventh,4,b553af38-42cf-49ce-bca7-a780431b308e,B,2,0,B,2,0
5,4,4,B,0,1,major-seventh,4,07b2f3fa-02fc-4580-b359-90806de5d560,B,2,0,D,3,-1
-7,4,4,D,-1,1,minor-seventh,4,4cf46082-4108-4583-96ac-d1416481c37a,D,3,-1,G,3,-1
-7,4,4,G,-1,1,dominant,4,4fa6d4ad-e08e-4bc9-8c63-7597f38a5697,G,3,-1,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,19c92b25-c7b6-4789-a8d4-4310cd681e6c,C,3,-1,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,d88f9da2-289a-4c1a-9b7b-ba5865950fe2,C,3,-1,C,3,0
-2,4,4,C,0,1,minor-seventh,4,8d9a4b91-c04a-4464-ab39-0b158ec18d07,C,3,0,F,3,0
-2,4,4,F,0,1,dominant,4,3d741995-4e13-4554-a721-ff757ec41946,F,3,0,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,d4e7553b-0f28-449b-bd6d-f9f18ac9be0e,B,2,-1,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,7c8dc857-77f8-467c-bec7-c8f18cf41a90,B,2,-1,B,2,0
3,4,4,B,0,1,minor-seventh,4,2fe82a11-28bc-4d03-ab2a-21977e22490f,B,2,0,E,3,0
3,4,4,E,0,1,dominant,4,5a129452-5037-434d-818a-b1955cd0172e,E,3,0,A,2,0
3,4,4,A,0,1,major-seventh,4,53d86748-e830-4580-a3e8-8d7f934bf8ed,A,2,0,A,2,0
3,4,4,A,0,1,major-seventh,4,d908de23-e85a-4480-954b-1220c5a86cf6,A,2,0,B,2,-1
-4,4,4,B,-1,1,minor-seventh,4,c3f0cf7a-5b21-4fad-8247-9e89985e0d88,B,2,-1,E,3,-1
-4,4,4,E,-1,1,dominant,4,76adcfec-1c6c-4f1b-901a-d580d3c3e29b,E,3,-1,A,2,-1
-4,4,4,A,-1,1,major-seventh,4,69e84ffa-6749-4505-9438-87b95f01832d,A,2,-1,A,3,-1
-4,4,4,A,-1,1,major-seventh,4,c16a7aeb-bbca-4eab-ae88-055a380f843d,A,3,-1,A,2,0
1,4,4,A,0,1,minor-seventh,4,2315ca6c-647d-49f1-928c-541454e24fa7,A,2,0,D,3,0
1,4,4,D,0,1,dominant,4,31098683-edd5-488a-8a97-56a87e70014f,D,3,0,G,2,0
1,4,4,G,0,1,major-seventh,4,5d300707-5c1f-4919-9d5c-55e897bd9e5e,G,2,0,G,3,0
1,4,4,G,0,1,major-seventh,4,298a99e6-37a6-416e-9936-04308e1c8721,G,3,0,A,2,-1
-6,4,4,A,-1,1,minor-seventh,4,419f5530-203e-422a-a2ab-a00036f99163,A,2,-1,D,3,-1
-6,4,4,D,-1,1,dominant,4,f95ae8f4-53ed-46d9-b21a-8179695a0bc5,D,3,-1,G,2,-1
-6,4,4,G,-1,1,major-seventh,4,c122f90f-ee90-4498-bfa0-8b088e917268,G,2,-1,G,3,-1
-6,4,4,G,-1,1,major-seventh,4,c9bb3ac3-142b-41fa-9511-e182ce645b3f,G,3,-1,G,2,1
6,4,4,G,1,1,minor-seventh,4,1c152ae9-c8fd-43f2-aece-9af9be5b63b9,G,2,1,C,3,1
6,4,4,C,1,1,dominant,4,f762f5ba-dc7c-4664-a49f-c58fe8d478e2,C,3,1,F,2,1
6,4,4,F,1,1,major-seventh,4,315ddb4e-829f-441e-991f-fda509382b70,F,2,1,F,3,1
6,4,4,F,1,1,major-seventh,4,d5c7bc6f-abdd-48a2-b729-e982db8dfe12,F,3,1,G,2,0
-1,4,4,G,0,1,minor-seventh,4,c515b9e7-891f-4bfd-a9b5-121061631270,G,2,0,C,3,0
-1,4,4,C,0,1,dominant,4,0a79ba97-8ce2-4910-ae9e-82e5da62268e,C,3,0,F,2,0
-1,4,4,F,0,1,major-seventh,4,bf7caffc-5f3f-43d6-992f-eda7819086d5,F,2,0,F,3,0
-1,4,4,F,0,1,major-seventh,4,87f6e794-38d9-4196-a621-ff0f7519c0f8,F,3,0,F,2,1
4,4,4,F,1,1,minor-seventh,4,ed68b23d-d48c-4ce1-b77c-a31253aab7ff,F,2,1,B,2,0
4,4,4,B,0,1,dominant,4,392ffae3-795c-4d86-951e-8393169dae9a,B,2,0,E,2,0
4,4,4,E,0,1,major-seventh,4,6b7192e2-8a31-4654-8eaa-4ae22201ac71,E,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,0c6f978a-d06d-4ad3-b835-188b81022a46,E,3,0,F,3,1
4,4,4,F,1,1,minor-seventh,4,fe640c0d-bc2d-49ca-8cdc-1660283adc57,F,3,1,B,2,0
4,4,4,B,0,1,dominant,4,f14615f3-ec8b-48a4-8714-4660647ae217,B,2,0,E,2,0
4,4,4,E,0,1,major-seventh,4,a60dd760-d1da-4db7-a279-3762f9594162,E,2,0,E,3,0
4,4,4,E,0,1,major-seventh,4,770c0848-a04f-4865-a2dd-ad23eef5ec5f,E,3,0,F,2,0
-3,4,4,F,0,1,minor-seventh,4,713a28bc-df36-40c6-9ca4-ceab7c0092e5,F,2,0,B,2,-1
-3,4,4,B,-1,1,dominant,4,4f7eb20b-6b57-47a0-bbf4-8eae5fcef0da,B,2,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,cc979bbe-33cd-4cce-a35f-90a45958d5c9,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,f4f446b5-706b-4454-a9c0-116756533fd4,E,3,-1,E,2,0
2,4,4,E,0,1,minor-seventh,4,a7675fae-63f8-4015-b472-399a29bc3bd5,E,2,0,A,2,0
2,4,4,A,0,1,dominant,4,3ab16603-1ee7-4642-85e4-64e288aeb3cd,A,2,0,D,3,0
2,4,4,D,0,1,major-seventh,4,40355e30-afa1-4246-8cb1-8c3cc203e86a,D,3,0,D,3,0
2,4,4,D,0,1,major-seventh,4,3fa08622-b518-4b8d-be9f-7d339a3c50b9,D,3,0,E,3,-1
-5,4,4,E,-1,1,minor-seventh,4,911b5120-2673-45f8-a0cb-ade04750208f,E,3,-1,A,2,-1
-5,4,4,A,-1,1,dominant,4,0d1c1e3d-9de3-4cd3-8c7e-54c5c3a64ee6,A,2,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,6f0247d0-ab24-414e-a346-30119c6bbdc7,D,3,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,784cff48-a8a6-4ab2-b217-aefc35dac151,D,3,-1,D,3,1
7,4,4,D,1,1,minor-seventh,4,2c3abd9a-75c1-4697-8b7a-322f879f16cd,D,3,1,G,2,1
